"target","side","ap","prop","Region"
"Ig","L",171.5592,0.324952884011333,"IDD5"
"Ig","L",170.882,0.191446535015116,"IDD5"
"Ig","L",171.054,0.619163952225841,"IDD5"
"Ig","L",172.3152,0.450634539050707,"IDD5"
"Ig","L",170.44,0.489911252511721,"IDD5"
"Ig","L",170.526,1,"IDD5"
"Ig","L",170.224,0.425932856768592,"IDD5"
"Ig","L",171.226,0.165043180765256,"IDD5"
"Ig","L",172.178,0.121036603319621,"IDD5"
"Ig","L",173.0272,0.21937117208747,"IDD5"
"Ig","L",173.1072,0.132357764939786,"IDD5"
"Ig","L",173.23,0.133423519612721,"IDD5"
"Ig","L",173.554,0.575364981146669,"IDD5"
"Ig","L",171.772,0.139839762646212,"IDD5"
"Ig","L",171.3608,1,"IDD5"
"Ig","L",170.5688,1,"IDD5"
"Ig","L",171.9712,1,"IDD5"
"Ig","L",173.376,0.341133127551528,"IDD5"
"Ig","L",173.088,0.869006849315068,"IDD5"
"Ig","L",170.724,1,"IDD5"
"Ig","L",170.552,1,"IDD5"
"Ig","L",171.866,1,"IDD5"
"Ig","L",173.268,0.0672907834538516,"IDD5"
"Ig","L",173.7648,0.136110401537545,"IDD5"
"Ig","L",173.9288,0.265757661837578,"IDD5"
"Ig","L",173.696,0.21500852417176,"IDD5"
"Ig","L",173.4008,0.0899812122746472,"IDD5"
"Ig","L",173.8992,0.259306358381503,"IDD5"
"Ig","L",171.9312,0.390754160849234,"IDD5"
"Ig","L",171.47,0.422329988602588,"IDD5"
"Ig","L",171.0112,0.143216722267304,"IDD5"
"Ig","L",171.564,0.176298140636922,"IDD5"
"Ig","L",171.0688,0,"IDM"
"Ig","L",171.8832,0.199620681406554,"IDM"
"Ig","L",170.6888,0,"IDM"
"Ig","L",170.826,0,"IDM"
"Ig","L",171.1808,0,"IDM"
"Ig","L",171.126,0,"IDM"
"Ig","L",173.104,0.312626855519107,"IDM"
"Ig","L",171.88,0.212760554927172,"IDM"
"Ig","L",172.07,0.127011632571199,"IDM"
"Ig","L",173.2648,0,"IDM"
"Ig","L",173.0568,0,"IDM"
"Ig","L",174.0688,0,"IDM"
"Ig","L",173.468,0,"IDM"
"Ig","L",175.0128,0.0581313559777064,"IDM"
"Ig","L",172.5768,0.310363728048059,"IDM"
"Ig","L",172.8072,0.255604467269911,"IDM"
"Ig","L",172.488,0,"IDM"
"Ig","L",173.9408,0,"IDV"
"Ig","L",173.518,0.119425543653165,"IDV"
"Ig","L",171.212,0,"IDV"
"Ig","L",171.5368,0,"IDM"
"Ig","L",169.778,0,"IDM"
"Ig","L",169.8048,0,"IDM"
"Ig","L",172.1768,0,"IDM"
"Ig","L",172.7768,0,"IDM"
"Ig","L",171.3688,0,"IDM"
"Ig","L",172.6608,0,"IDM"
"Ig","L",173.452,0,"IDM"
"Ig","L",174.5272,0.156685268158993,"IDM"
"Ig","L",172.8328,0,"IDM"
"Ig","L",170.464,0,"IDM"
"Ig","L",169.934,0,"IDM"
"Ig","L",170.114,0,"IDM"
"Ig","L",171.028,0.135952182038981,"IDM"
"Ig","L",173.736,0,"IDM"
"Ig","L",173.158,0,"IDM"
"Ig","L",171.17,0,"IDM"
"Ig","L",170.27,0,"IDM"
"Ig","L",171.472,0,"IDM"
"Ig","L",171.146,0,"IDM"
"Ig","L",173.256,0,"IDM"
"Ig","L",168.864,0,"IDM"
"Ig","L",168.9352,0.284554455445545,"IDM"
"Ig","L",168.4768,0.449541564792176,"IDM"
"Ig","L",169.354,0.412383042624466,"IDD5"
"Ig","L",170.696,0,"IDM"
"Ig","L",171.832,0,"IDM"
"Ig","L",171.0672,0.250241797485306,"IDM"
"Ig","L",211.3912,0,"IAL"
"Ig","L",210.4168,0,"IAL"
"Ig","L",210.1168,0,"IAPM"
"Ig","L",211.9072,0,"IAPM"
"Ig","L",210.6632,0,"IAPM"
"Ig","L",211.118,0,"IAPM"
"Ig","L",212.0196,0.0240310144601459,"IAPM"
"Ig","L",213.6916,0,"IAPM"
"Ig","L",213.7356,0,"IAPM"
"Ig","L",214.7564,0,"IAPM"
"Ig","L",213.5468,0,"IAPM"
"Ig","L",213.5636,0,"IAPM"
"Ig","L",213.0968,0,"IAPM"
"Ig","L",212.2664,0,"IAL"
"Ig","L",211.8712,0,"IAL"
"Ig","L",211.8992,0,"IAL"
"Ig","L",211.3288,0,"IAL"
"Ig","L",211.884,0,"IAL"
"Ig","L",212.5584,0,"IAPM"
"Ig","L",212.4096,0,"IAPM"
"Ig","L",211.998,0,"IAPM"
"Ig","L",210.7472,0,"IAPM"
"Ig","L",211.5472,0,"IAPM"
"Ig","L",162.881,0.490768659832073,"IDD5"
"Ig","L",205.632,0,"IAL"
"Ig","L",205.908,0,"IAL"
"Ig","L",203.608,0,"IAL"
"Ig","L",190.706,0,"IDM"
"Ig","L",188.714,0.0462834669913647,"IDM"
"Ig","L",187.365,0,"IDM"
"Ig","L",209.919,0,"IAL"
"Ig","L",209.287,0,"IAL"
"Ig","L",206.676,0,"IAL"
"Ig","L",205.484,0,"IAL"
"Ig","L",206.506,0,"IAL"
"Ig","L",207.459,0,"IAL"
"Ig","L",208.442,0,"IAL"
"Ig","L",209.073,0,"IAL"
"Ig","L",207.16,0,"IAL"
"Ig","L",208.53,0,"IAL"
"Ig","L",210.3,0,"IAL"
"Ig","R",213.8664,0,"IAL"
"Ig","R",213.9036,0,"IAL"
"Ig","R",215.7856,0,"IAL"
"Ig","R",216.6584,0,"IAL"
"Ig","R",216.3672,0,"IAL"
"Ig","R",216.0444,0,"IAL"
"Ig","R",216.3204,0,"IAL"
"Ig","R",215.7388,0,"IAL"
"Ig","R",216.3748,0,"IAL"
"Ig","R",217.6472,0,"IAL"
"Ig","R",217.4992,0,"IAL"
"Ig","R",217.4512,0,"IAL"
"Ig","R",216.86,0.0284005689164727,"IAL"
"Ig","R",216.0316,0,"IAL"
"Ig","R",216.1528,0,"IAL"
"Ig","R",216.88,0,"IAL"
"Ig","R",216.5864,0,"IAL"
"Ig","R",215.1964,0,"IAL"
"Ig","R",214.6016,0,"IAL"
"Ig","R",214.9016,0,"IAL"
"Ig","R",215.5436,0,"IAL"
"Ig","R",215.4492,0,"IAL"
"Ig","R",217.4524,0,"IAL"
"Ig","R",217.6764,0,"IAL"
"Ig","R",218.6192,0,"IAL"
"Ig","R",218.7924,0,"IAL"
"Ig","R",217.7156,0,"IAL"
"Ig","R",216.6076,0,"IAL"
"Ig","R",216.4336,0,"IAL"
"Ig","R",214.8928,0,"IAL"
"Ig","R",214.958,0,"IAL"
"Ig","R",216.9168,0,"IAL"
"Ig","R",216.4576,0,"IAL"
"Ig","R",215.7588,0,"IAL"
"Ig","R",217.0748,0,"IAL"
"Ig","R",216.6168,0,"IAL"
"Ig","R",217.5376,0,"IAL"
"Ig","R",217.1596,0,"IAL"
"Ig","R",216.3524,0,"IAL"
"Ig","R",218.4772,0,"IAL"
"Ig","R",218.0716,0,"IAL"
"Ig","R",218.318,0,"IAL"
"Ig","R",217.5132,0,"IAL"
"Ig","R",214.1356,0,"IAL"
"Ig","R",212.7516,0,"IAL"
"Ig","R",212.2256,0,"IAL"
"Ig","R",213.6328,0,"IAL"
"Ig","R",214.7216,0,"IAL"
"Ig","R",214.982,0,"IAL"
"Ig","R",214.924,0,"IAL"
"Ig","R",215.1468,0,"IAL"
"Ig","R",216.7568,0,"IAL"
"Ig","R",216.354,0,"IAL"
"Ig","R",216.082,0,"IAL"
"Ig","R",215.8128,0,"IAL"
"Ig","R",216.1248,0,"IAL"
"Ig","R",213.3236,0,"IAL"
"Ig","R",213.8368,0,"IAL"
"Ig","R",212.9916,0,"IAL"
"Ig","R",212.3628,0,"IAL"
"Ig","R",213.4904,0,"IAL"
"Ig","R",213.6072,0,"IAL"
"Ig","R",214.944,0,"IAL"
"Ig","R",214.9556,0,"IAL"
"Ig","R",215.1232,0,"IAL"
"Ig","R",213.8964,0,"IAL"
"Ig","R",213.2964,0,"IAL"
"Ig","R",212.2204,0,"IAL"
"Ig","R",213.4912,0,"IAL"
"Ig","R",216.6936,0,"IAL"
"Ig","R",213.4104,0,"IAL"
"Ig","R",212.5496,0,"IAL"
"Ig","R",213.4304,0,"IAL"
"Ig","R",213.9212,0,"IAL"
"Ig","R",213.6736,0,"IAL"
"Ig","R",214.2172,0,"IAL"
"Ig","R",214.5752,0,"IAL"
"Ig","R",214.9868,0,"IAL"
"Ig","R",217.3644,0,"IAL"
"Ig","R",216.424,0,"IAL"
"Ig","R",214.73,0,"IAL"
"Ig","R",214.2708,0,"IAL"
"Ig","R",213.912,0,"IAL"
"Ig","R",213.1056,0,"IAL"
"Ig","R",213.2528,0,"IAL"
"Ig","R",213.1272,0,"IAL"
"Ig","R",215.4352,0,"IAL"
"Ig","R",213.2748,0,"IAL"
"Ig","R",213.1136,0,"IAL"
"Ig","R",213.5948,0,"IAL"
"Ig","R",213.7896,0,"IAL"
"Ig","R",214.0632,0,"IAL"
"Ig","R",214.496,0,"IAL"
"Ig","R",215.0448,0,"IAL"
"Ig","R",215.9384,0,"IAL"
"Ig","R",182.2472,0.0359808298857166,"IDD5"
"Ig","R",181.886,0.0816179527589507,"IDD5"
"Ig","R",181.664,0,"IDD5"
"Ig","R",181.2192,0,"IDD5"
"Ig","R",180.6008,0,"IDD5"
"Ig","R",180.2552,0,"IDD5"
"Ig","R",179.872,0,"IDD5"
"Ig","R",179.102,0.313105149552883,"IDD5"
"Ig","R",178.3488,0.0544158687574202,"IDD5"
"Ig","R",181.694,0,"IDD5"
"Ig","R",181.2208,0,"IDD5"
"Ig","R",180.778,0.257761354045485,"IDD5"
"Ig","R",179.8288,0,"IDD5"
"Ig","R",179.47,0,"IDD5"
"Ig","R",179.1632,0,"IDD5"
"Ig","R",179.288,0.441692941474304,"IDD5"
"Ig","R",178.426,0,"IDM"
"Ig","R",180.296,0,"IDD5"
"Ig","R",185.2728,0,"IDD5"
"Ig","R",186.0032,0,"IDM"
"Ig","R",184.918,0,"IDM"
"Ig","R",184.582,0,"IDM"
"Ig","R",184.1112,0,"IDM"
"Ig","R",185.5872,0,"IDM"
"Ig","R",185.988,0,"IDM"
"Ig","R",182.312,0,"IDM"
"Ig","R",182.5912,0,"IDM"
"Ig","R",182.362,0,"IDM"
"Ig","R",181.5008,0,"IDM"
"Ig","R",180.49,0.158869215252536,"IDM"
"Ig","R",183.3368,0,"IDD5"
"Ig","R",183.594,0,"IDD5"
"Ig","R",184.6392,0,"IDD5"
"Ig","R",185.1112,0,"IDD5"
"Ig","R",184.5312,0,"IDD5"
"Ig","R",184.348,0,"IDD5"
"Ig","R",184.222,0,"IDM"
"Ig","R",183.4688,0.127184098835988,"IDM"
"Ig","R",182.542,0,"IDM"
"Ig","R",183.202,0,"IDD5"
"Ig","R",180.018,0,"IDM"
"Ig","R",179.3368,0,"IDM"
"Ig","R",179.1952,0,"IDM"
"Ig","R",179.116,0.261603091917325,"IDM"
"Ig","R",181.4848,0,"IDD5"
"Ig","R",183.1048,0,"IDD5"
"Ig","R",184.468,0,"IDD5"
"Ig","R",184.8968,0,"IDD5"
"Ig","R",184.13,0,"IDD5"
"Ig","R",181.772,0,"IDM"
"Ig","R",182.4168,0,"IDM"
"Ig","R",182.2488,0,"IDM"
"Ig","R",180.852,0,"IDM"
"Ig","R",180.8592,0,"IDM"
"Ig","R",179.6528,0,"IDM"
"Ig","R",181.8832,0,"IDM"
"Ig","R",182.8872,0,"IDM"
"Ig","R",181.0968,0.273720822893314,"IDM"
"Ig","R",181.3872,0,"IDM"
"Ig","R",181.034,0,"IDM"
"Ig","R",176.626,0,"IDM"
"Ig","R",181.826,0,"IDM"
"Ig","R",152.656,0.395751933497339,"IDD5"
"Ig","R",151.339,0.875623649577686,"IDD5"
"Ig","R",164.712,0.430662816466322,"IDD5"
"Ig","R",167.47,0.353983641320812,"IDD5"
"Ig","R",208.983,0,"IAL"
"Ig","R",209.9,0,"IAL"
"Ig","R",219.0492,0,"IAL"
"Ig","R",218.8489,0,"IAL"
"Ig","R",220.6792,0,"IAL"
"Ig","R",218.7842,0,"IAL"
"Ig","R",219.9139,0,"IAL"
"Ig","R",217.1767,0,"IAL"
"Ig","R",217.278,0,"IAL"
"Ig","R",218.5447,0,"IAL"
"Ig","R",218.1859,0,"IAL"
"Ig","R",219.3808,0,"IAL"
"Ig","R",211.459,0,"IAL"
"Ig","R",216.7038,0,"IAL"
"Ig","R",219.9862,0,"IAL"
"Ig","R",212.3912,0,"IAL"
"Ig","R",216.6004,0,"IAL"
"Ig","R",216.725,0,"IAL"
"Ig","R",218.2082,0,"IAL"
"Ig","R",218.5304,0,"IAL"
"Ig","R",218.5809,0,"IAL"
"Ig","R",218.9249,0,"IAL"
"Ig","R",151.353,0.427466608795155,"IDD5"
"Ig","R",151.55,0.398830054358323,"IDD5"
"Ig","all",213.8664,0,"IAL"
"Ig","all",213.9036,0,"IAL"
"Ig","all",215.7856,0,"IAL"
"Ig","all",216.6584,0,"IAL"
"Ig","all",216.3672,0,"IAL"
"Ig","all",216.0444,0,"IAL"
"Ig","all",216.3204,0,"IAL"
"Ig","all",215.7388,0,"IAL"
"Ig","all",216.3748,0,"IAL"
"Ig","all",217.6472,0,"IAL"
"Ig","all",217.4992,0,"IAL"
"Ig","all",217.4512,0,"IAL"
"Ig","all",216.86,0.0284005689164727,"IAL"
"Ig","all",216.0316,0,"IAL"
"Ig","all",216.1528,0,"IAL"
"Ig","all",216.88,0,"IAL"
"Ig","all",216.5864,0,"IAL"
"Ig","all",215.1964,0,"IAL"
"Ig","all",214.6016,0,"IAL"
"Ig","all",214.9016,0,"IAL"
"Ig","all",215.5436,0,"IAL"
"Ig","all",215.4492,0,"IAL"
"Ig","all",217.4524,0,"IAL"
"Ig","all",217.6764,0,"IAL"
"Ig","all",218.6192,0,"IAL"
"Ig","all",218.7924,0,"IAL"
"Ig","all",217.7156,0,"IAL"
"Ig","all",216.6076,0,"IAL"
"Ig","all",216.4336,0,"IAL"
"Ig","all",214.8928,0,"IAL"
"Ig","all",214.958,0,"IAL"
"Ig","all",216.9168,0,"IAL"
"Ig","all",216.4576,0,"IAL"
"Ig","all",215.7588,0,"IAL"
"Ig","all",217.0748,0,"IAL"
"Ig","all",216.6168,0,"IAL"
"Ig","all",217.5376,0,"IAL"
"Ig","all",217.1596,0,"IAL"
"Ig","all",216.3524,0,"IAL"
"Ig","all",218.4772,0,"IAL"
"Ig","all",218.0716,0,"IAL"
"Ig","all",218.318,0,"IAL"
"Ig","all",217.5132,0,"IAL"
"Ig","all",214.1356,0,"IAL"
"Ig","all",212.7516,0,"IAL"
"Ig","all",212.2256,0,"IAL"
"Ig","all",213.6328,0,"IAL"
"Ig","all",214.7216,0,"IAL"
"Ig","all",214.982,0,"IAL"
"Ig","all",214.924,0,"IAL"
"Ig","all",215.1468,0,"IAL"
"Ig","all",216.7568,0,"IAL"
"Ig","all",216.354,0,"IAL"
"Ig","all",216.082,0,"IAL"
"Ig","all",215.8128,0,"IAL"
"Ig","all",216.1248,0,"IAL"
"Ig","all",213.3236,0,"IAL"
"Ig","all",213.8368,0,"IAL"
"Ig","all",212.9916,0,"IAL"
"Ig","all",212.3628,0,"IAL"
"Ig","all",213.4904,0,"IAL"
"Ig","all",213.6072,0,"IAL"
"Ig","all",214.944,0,"IAL"
"Ig","all",214.9556,0,"IAL"
"Ig","all",215.1232,0,"IAL"
"Ig","all",213.8964,0,"IAL"
"Ig","all",213.2964,0,"IAL"
"Ig","all",212.2204,0,"IAL"
"Ig","all",213.4912,0,"IAL"
"Ig","all",216.6936,0,"IAL"
"Ig","all",213.4104,0,"IAL"
"Ig","all",212.5496,0,"IAL"
"Ig","all",213.4304,0,"IAL"
"Ig","all",213.9212,0,"IAL"
"Ig","all",213.6736,0,"IAL"
"Ig","all",214.2172,0,"IAL"
"Ig","all",214.5752,0,"IAL"
"Ig","all",214.9868,0,"IAL"
"Ig","all",217.3644,0,"IAL"
"Ig","all",216.424,0,"IAL"
"Ig","all",214.73,0,"IAL"
"Ig","all",214.2708,0,"IAL"
"Ig","all",213.912,0,"IAL"
"Ig","all",213.1056,0,"IAL"
"Ig","all",213.2528,0,"IAL"
"Ig","all",213.1272,0,"IAL"
"Ig","all",215.4352,0,"IAL"
"Ig","all",213.2748,0,"IAL"
"Ig","all",213.1136,0,"IAL"
"Ig","all",213.5948,0,"IAL"
"Ig","all",213.7896,0,"IAL"
"Ig","all",214.0632,0,"IAL"
"Ig","all",214.496,0,"IAL"
"Ig","all",215.0448,0,"IAL"
"Ig","all",215.9384,0,"IAL"
"Ig","all",182.2472,0.0359808298857166,"IDD5"
"Ig","all",181.886,0.0816179527589507,"IDD5"
"Ig","all",181.664,0,"IDD5"
"Ig","all",181.2192,0,"IDD5"
"Ig","all",180.6008,0,"IDD5"
"Ig","all",180.2552,0,"IDD5"
"Ig","all",179.872,0,"IDD5"
"Ig","all",179.102,0.313105149552883,"IDD5"
"Ig","all",178.3488,0.0544158687574202,"IDD5"
"Ig","all",181.694,0,"IDD5"
"Ig","all",181.2208,0,"IDD5"
"Ig","all",180.778,0.257761354045485,"IDD5"
"Ig","all",179.8288,0,"IDD5"
"Ig","all",179.47,0,"IDD5"
"Ig","all",179.1632,0,"IDD5"
"Ig","all",179.288,0.441692941474304,"IDD5"
"Ig","all",178.426,0,"IDM"
"Ig","all",180.296,0,"IDD5"
"Ig","all",185.2728,0,"IDD5"
"Ig","all",186.0032,0,"IDM"
"Ig","all",184.918,0,"IDM"
"Ig","all",184.582,0,"IDM"
"Ig","all",184.1112,0,"IDM"
"Ig","all",185.5872,0,"IDM"
"Ig","all",185.988,0,"IDM"
"Ig","all",182.312,0,"IDM"
"Ig","all",182.5912,0,"IDM"
"Ig","all",182.362,0,"IDM"
"Ig","all",181.5008,0,"IDM"
"Ig","all",180.49,0.158869215252536,"IDM"
"Ig","all",183.3368,0,"IDD5"
"Ig","all",183.594,0,"IDD5"
"Ig","all",184.6392,0,"IDD5"
"Ig","all",185.1112,0,"IDD5"
"Ig","all",184.5312,0,"IDD5"
"Ig","all",184.348,0,"IDD5"
"Ig","all",184.222,0,"IDM"
"Ig","all",183.4688,0.127184098835988,"IDM"
"Ig","all",182.542,0,"IDM"
"Ig","all",183.202,0,"IDD5"
"Ig","all",180.018,0,"IDM"
"Ig","all",179.3368,0,"IDM"
"Ig","all",179.1952,0,"IDM"
"Ig","all",179.116,0.261603091917325,"IDM"
"Ig","all",181.4848,0,"IDD5"
"Ig","all",183.1048,0,"IDD5"
"Ig","all",184.468,0,"IDD5"
"Ig","all",184.8968,0,"IDD5"
"Ig","all",184.13,0,"IDD5"
"Ig","all",181.772,0,"IDM"
"Ig","all",182.4168,0,"IDM"
"Ig","all",182.2488,0,"IDM"
"Ig","all",180.852,0,"IDM"
"Ig","all",180.8592,0,"IDM"
"Ig","all",179.6528,0,"IDM"
"Ig","all",181.8832,0,"IDM"
"Ig","all",182.8872,0,"IDM"
"Ig","all",181.0968,0.273720822893314,"IDM"
"Ig","all",181.3872,0,"IDM"
"Ig","all",181.034,0,"IDM"
"Ig","all",176.626,0,"IDM"
"Ig","all",181.826,0,"IDM"
"Ig","all",171.5592,0.324952884011333,"IDD5"
"Ig","all",170.882,0.191446535015116,"IDD5"
"Ig","all",171.054,0.619163952225841,"IDD5"
"Ig","all",172.3152,0.450634539050707,"IDD5"
"Ig","all",170.44,0.489911252511721,"IDD5"
"Ig","all",170.526,1,"IDD5"
"Ig","all",170.224,0.425932856768592,"IDD5"
"Ig","all",171.226,0.165043180765256,"IDD5"
"Ig","all",172.178,0.121036603319621,"IDD5"
"Ig","all",173.0272,0.21937117208747,"IDD5"
"Ig","all",173.1072,0.132357764939786,"IDD5"
"Ig","all",173.23,0.133423519612721,"IDD5"
"Ig","all",173.554,0.575364981146669,"IDD5"
"Ig","all",171.772,0.139839762646212,"IDD5"
"Ig","all",171.3608,1,"IDD5"
"Ig","all",170.5688,1,"IDD5"
"Ig","all",171.9712,1,"IDD5"
"Ig","all",173.376,0.341133127551528,"IDD5"
"Ig","all",173.088,0.869006849315068,"IDD5"
"Ig","all",170.724,1,"IDD5"
"Ig","all",170.552,1,"IDD5"
"Ig","all",171.866,1,"IDD5"
"Ig","all",173.268,0.0672907834538516,"IDD5"
"Ig","all",173.7648,0.136110401537545,"IDD5"
"Ig","all",173.9288,0.265757661837578,"IDD5"
"Ig","all",173.696,0.21500852417176,"IDD5"
"Ig","all",173.4008,0.0899812122746472,"IDD5"
"Ig","all",173.8992,0.259306358381503,"IDD5"
"Ig","all",171.9312,0.390754160849234,"IDD5"
"Ig","all",171.47,0.422329988602588,"IDD5"
"Ig","all",171.0112,0.143216722267304,"IDD5"
"Ig","all",171.564,0.176298140636922,"IDD5"
"Ig","all",171.0688,0,"IDM"
"Ig","all",171.8832,0.199620681406554,"IDM"
"Ig","all",170.6888,0,"IDM"
"Ig","all",170.826,0,"IDM"
"Ig","all",171.1808,0,"IDM"
"Ig","all",171.126,0,"IDM"
"Ig","all",173.104,0.312626855519107,"IDM"
"Ig","all",171.88,0.212760554927172,"IDM"
"Ig","all",172.07,0.127011632571199,"IDM"
"Ig","all",173.2648,0,"IDM"
"Ig","all",173.0568,0,"IDM"
"Ig","all",174.0688,0,"IDM"
"Ig","all",173.468,0,"IDM"
"Ig","all",175.0128,0.0581313559777064,"IDM"
"Ig","all",172.5768,0.310363728048059,"IDM"
"Ig","all",172.8072,0.255604467269911,"IDM"
"Ig","all",172.488,0,"IDM"
"Ig","all",173.9408,0,"IDV"
"Ig","all",173.518,0.119425543653165,"IDV"
"Ig","all",171.212,0,"IDV"
"Ig","all",171.5368,0,"IDM"
"Ig","all",169.778,0,"IDM"
"Ig","all",169.8048,0,"IDM"
"Ig","all",172.1768,0,"IDM"
"Ig","all",172.7768,0,"IDM"
"Ig","all",171.3688,0,"IDM"
"Ig","all",172.6608,0,"IDM"
"Ig","all",173.452,0,"IDM"
"Ig","all",174.5272,0.156685268158993,"IDM"
"Ig","all",172.8328,0,"IDM"
"Ig","all",170.464,0,"IDM"
"Ig","all",169.934,0,"IDM"
"Ig","all",170.114,0,"IDM"
"Ig","all",171.028,0.135952182038981,"IDM"
"Ig","all",173.736,0,"IDM"
"Ig","all",173.158,0,"IDM"
"Ig","all",171.17,0,"IDM"
"Ig","all",170.27,0,"IDM"
"Ig","all",171.472,0,"IDM"
"Ig","all",171.146,0,"IDM"
"Ig","all",173.256,0,"IDM"
"Ig","all",168.864,0,"IDM"
"Ig","all",168.9352,0.284554455445545,"IDM"
"Ig","all",168.4768,0.449541564792176,"IDM"
"Ig","all",169.354,0.412383042624466,"IDD5"
"Ig","all",170.696,0,"IDM"
"Ig","all",171.832,0,"IDM"
"Ig","all",171.0672,0.250241797485306,"IDM"
"Ig","all",211.3912,0,"IAL"
"Ig","all",210.4168,0,"IAL"
"Ig","all",210.1168,0,"IAPM"
"Ig","all",211.9072,0,"IAPM"
"Ig","all",210.6632,0,"IAPM"
"Ig","all",211.118,0,"IAPM"
"Ig","all",212.0196,0.0240310144601459,"IAPM"
"Ig","all",213.6916,0,"IAPM"
