"dropped","stratum","target","n_L","n_R","cliffs_delta","p_mag","p_mag_BH","direction"
"__none__","IDD5_plus_IDM_balanced","Ig",81,68,0.355482933914306,3.33124296489906e-05,0.000266499437191925,"L>R"
"__none__","IDD5_plus_IDM_balanced","LPal",81,68,0.217501815541031,0.00130415675548412,0.00521662702193648,"L>R"
"__none__","IDD5_plus_IDM_balanced","VPal",81,68,-0.00217864923747277,0.916250306304772,0.916250306304772,"R>L"
"__none__","IDD5_plus_IDM_balanced","Pi",81,68,0.0442992011619463,0.235855289981411,0.314473719975215,"L>R"
"__none__","IDD5_plus_IDM_balanced","Ia/Id",81,68,-0.272331154684096,0.00368259130239666,0.00982024347305776,"R>L"
"__none__","IDD5_plus_IDM_balanced","caudal_OFC",81,68,0.0798838053740015,0.0650102629648004,0.130020525929601,"L>R"
"__none__","IDD5_plus_IDM_balanced","VPons",81,68,-0.0294117647058824,0.123771796386049,0.198034874217678,"R>L"
"__none__","IDD5_plus_IDM_balanced","VMid",81,68,-0.0170660856935367,0.466385974541348,0.533012542332969,"R>L"
"__none__","IDD5_balanced","Ig",34,36,0.718954248366013,1.33214455022568e-07,7.99286730135407e-07,"L>R"
"__none__","IDD5_balanced","LPal",34,36,0.363562091503268,0.000684146737903735,0.00157062641463982,"L>R"
"__none__","IDD5_balanced","VPal",34,36,0,NA,NA,"R>L"
"__none__","IDD5_balanced","Pi",34,36,0.0294117647058824,0.317112900084624,0.317112900084624,"L>R"
"__none__","IDD5_balanced","Ia/Id",34,36,-0.464052287581699,0.000785313207319909,0.00157062641463982,"R>L"
"__none__","IDD5_balanced","caudal_OFC",34,36,0.117647058823529,0.0367533836933189,0.0551300755399784,"L>R"
"__none__","IDD5_balanced","VPons",34,36,0,NA,NA,"R>L"
"__none__","IDD5_balanced","VMid",34,36,0.0294117647058824,0.317112900084624,0.317112900084624,"L>R"
"__none__","all_combined","Ig",121,185,0.316595934777753,7.61435359208917e-11,6.09148287367134e-10,"L>R"
"__none__","all_combined","LPal",121,185,0.203752512843422,3.82937226741653e-05,0.000102116593797774,"L>R"
"__none__","all_combined","VPal",121,185,0.0617377708286799,0.0117255900510558,0.0234511801021116,"L>R"
"__none__","all_combined","Pi",121,185,0.0473978110341747,0.0530543360111557,0.070739114681541,"L>R"
"__none__","all_combined","Ia/Id",121,185,0.154121063211972,0.0165667910133491,0.0265068656213586,"L>R"
"__none__","all_combined","caudal_OFC",121,185,-0.353853026580299,3.45853835626485e-08,1.38341534250594e-07,"R>L"
"__none__","all_combined","VPons",121,185,-0.0216216216216216,0.104785407621718,0.119754751567678,"R>L"
"__none__","all_combined","VMid",121,185,-0.0187178914451642,0.250159179228614,0.250159179228614,"R>L"
"251637","IDD5_plus_IDM_balanced","Ig",4,6,-0.583333333333333,0.164521817489485,0.164521817489485,"R>L"
"251637","IDD5_plus_IDM_balanced","LPal",4,6,0.5,0.0942098868338737,0.125613182445165,"L>R"
"251637","IDD5_plus_IDM_balanced","VPal",4,6,0,NA,NA,"R>L"
"251637","IDD5_plus_IDM_balanced","Pi",4,6,0,NA,NA,"R>L"
"251637","IDD5_plus_IDM_balanced","Ia/Id",4,6,0.75,0.0257708195082347,0.0515416390164694,"L>R"
"251637","IDD5_plus_IDM_balanced","caudal_OFC",4,6,0.75,0.0257708195082347,0.0515416390164694,"L>R"
"251637","IDD5_plus_IDM_balanced","VPons",4,6,0,NA,NA,"R>L"
"251637","IDD5_plus_IDM_balanced","VMid",4,6,0,NA,NA,"R>L"
"251637","all_combined","Ig",18,28,-0.107142857142857,0.366582048153976,0.366582048153976,"R>L"
"251637","all_combined","LPal",18,28,0.367063492063492,0.00733176807864133,0.043990608471848,"L>R"
"251637","all_combined","VPal",18,28,0.236111111111111,0.0232809140715,0.0698427422145,"L>R"
"251637","all_combined","Pi",18,28,0.0555555555555556,0.229101884065059,0.27492226087807,"L>R"
"251637","all_combined","Ia/Id",18,28,0.166666666666667,0.195563647194169,0.27492226087807,"L>R"
"251637","all_combined","caudal_OFC",18,28,-0.273809523809524,0.106917921036323,0.213835842072646,"R>L"
"251637","all_combined","VPons",18,28,0,NA,NA,"R>L"
"251637","all_combined","VMid",18,28,0,NA,NA,"R>L"
"252383","IDD5_plus_IDM_balanced","Ig",80,64,0.411328125,1.84047543783095e-06,1.47238035026476e-05,"L>R"
"252383","IDD5_plus_IDM_balanced","LPal",80,64,0.215625,0.00204017291951963,0.00544046111871902,"L>R"
"252383","IDD5_plus_IDM_balanced","VPal",80,64,-0.0029296875,0.889582475899993,0.889582475899993,"R>L"
"252383","IDD5_plus_IDM_balanced","Pi",80,64,0.043359375,0.263087317410238,0.350783089880318,"L>R"
"252383","IDD5_plus_IDM_balanced","Ia/Id",80,64,-0.336328125,0.000428119470755171,0.00171247788302069,"R>L"
"252383","IDD5_plus_IDM_balanced","caudal_OFC",80,64,0.079296875,0.0771081523713484,0.154216304742697,"L>R"
"252383","IDD5_plus_IDM_balanced","VPons",80,64,-0.03125,0.114855121761811,0.183768194818898,"R>L"
"252383","IDD5_plus_IDM_balanced","VMid",80,64,-0.01875,0.440176919533854,0.503059336610118,"R>L"
"252383","IDD5_balanced","Ig",33,32,0.831439393939394,3.46459372302377e-09,2.07875623381426e-08,"L>R"
"252383","IDD5_balanced","LPal",33,32,0.367424242424242,0.00128499786513325,0.00256999573026651,"L>R"
"252383","IDD5_balanced","VPal",33,32,0,NA,NA,"R>L"
"252383","IDD5_balanced","Pi",33,32,0.0303030303030303,0.34010436856158,0.34010436856158,"L>R"
"252383","IDD5_balanced","Ia/Id",33,32,-0.600378787878788,3.00487083549412e-05,9.01461250648237e-05,"R>L"
"252383","IDD5_balanced","caudal_OFC",33,32,0.121212121212121,0.0454688516831239,0.0682032775246858,"L>R"
"252383","IDD5_balanced","VPons",33,32,0,NA,NA,"R>L"
"252383","IDD5_balanced","VMid",33,32,0.0303030303030303,0.34010436856158,0.34010436856158,"L>R"
"252383","all_combined","Ig",120,181,0.335082872928177,2.40962805264644e-12,1.92770244211715e-11,"L>R"
"252383","all_combined","LPal",120,181,0.203268876611418,5.02846550465286e-05,0.00013409241345741,"L>R"
"252383","all_combined","VPal",120,181,0.0619705340699816,0.0126745800570711,0.0253491601141422,"L>R"
"252383","all_combined","Pi",120,181,0.0474217311233886,0.0565051757862574,0.0753402343816765,"L>R"
"252383","all_combined","Ia/Id",120,181,0.14792817679558,0.0227564509937559,0.0364103215900094,"L>R"
"252383","all_combined","caudal_OFC",120,181,-0.36804788213628,1.32975434695532e-08,5.31901738782128e-08,"R>L"
"252383","all_combined","VPons",120,181,-0.0220994475138122,0.102421805535567,0.117053492040648,"R>L"
"252383","all_combined","VMid",120,181,-0.0192449355432781,0.244099689712039,0.244099689712039,"R>L"
"252384","IDD5_plus_IDM_balanced","Ig",81,68,0.355482933914306,3.33124296489906e-05,0.000266499437191925,"L>R"
"252384","IDD5_plus_IDM_balanced","LPal",81,68,0.217501815541031,0.00130415675548412,0.00521662702193648,"L>R"
"252384","IDD5_plus_IDM_balanced","VPal",81,68,-0.00217864923747277,0.916250306304772,0.916250306304772,"R>L"
"252384","IDD5_plus_IDM_balanced","Pi",81,68,0.0442992011619463,0.235855289981411,0.314473719975215,"L>R"
"252384","IDD5_plus_IDM_balanced","Ia/Id",81,68,-0.272331154684096,0.00368259130239666,0.00982024347305776,"R>L"
"252384","IDD5_plus_IDM_balanced","caudal_OFC",81,68,0.0798838053740015,0.0650102629648004,0.130020525929601,"L>R"
"252384","IDD5_plus_IDM_balanced","VPons",81,68,-0.0294117647058824,0.123771796386049,0.198034874217678,"R>L"
"252384","IDD5_plus_IDM_balanced","VMid",81,68,-0.0170660856935367,0.466385974541348,0.533012542332969,"R>L"
"252384","IDD5_balanced","Ig",34,36,0.718954248366013,1.33214455022568e-07,7.99286730135407e-07,"L>R"
"252384","IDD5_balanced","LPal",34,36,0.363562091503268,0.000684146737903735,0.00157062641463982,"L>R"
"252384","IDD5_balanced","VPal",34,36,0,NA,NA,"R>L"
"252384","IDD5_balanced","Pi",34,36,0.0294117647058824,0.317112900084624,0.317112900084624,"L>R"
"252384","IDD5_balanced","Ia/Id",34,36,-0.464052287581699,0.000785313207319909,0.00157062641463982,"R>L"
"252384","IDD5_balanced","caudal_OFC",34,36,0.117647058823529,0.0367533836933189,0.0551300755399784,"L>R"
"252384","IDD5_balanced","VPons",34,36,0,NA,NA,"R>L"
"252384","IDD5_balanced","VMid",34,36,0.0294117647058824,0.317112900084624,0.317112900084624,"L>R"
"252384","all_combined","Ig",118,183,0.326016486060943,4.2620795781545e-11,3.4096636625236e-10,"L>R"
"252384","all_combined","LPal",118,183,0.193803834398444,9.72252230089232e-05,0.000259267261357129,"L>R"
"252384","all_combined","VPal",118,183,0.0464943965916458,0.0447550074532992,0.0659287966027155,"L>R"
"252384","all_combined","Pi",118,183,0.0489950912290451,0.0494465974520366,0.0659287966027155,"L>R"
"252384","all_combined","Ia/Id",118,183,0.164351208669075,0.0116334644534801,0.0232669289069602,"L>R"
"252384","all_combined","caudal_OFC",118,183,-0.353709363712142,4.40183469858772e-08,1.76073387943509e-07,"R>L"
"252384","all_combined","VPons",118,183,-0.0218579234972678,0.107261331855702,0.122584379263659,"R>L"
"252384","all_combined","VMid",118,183,-0.0188015189404464,0.256552633146004,0.256552633146004,"R>L"
"252385","IDD5_plus_IDM_balanced","Ig",78,66,0.397435897435897,4.65970166607654e-06,3.72776133286123e-05,"L>R"
"252385","IDD5_plus_IDM_balanced","LPal",78,66,0.203185703185703,0.00278317499293435,0.00742179998115825,"L>R"
"252385","IDD5_plus_IDM_balanced","VPal",78,66,-0.00213675213675214,0.921220802545752,0.921220802545752,"R>L"
"252385","IDD5_plus_IDM_balanced","Pi",78,66,0.0462315462315462,0.231354066622655,0.324508099200948,"L>R"
"252385","IDD5_plus_IDM_balanced","Ia/Id",78,66,-0.295648795648796,0.00190222874444252,0.00742179998115825,"R>L"
"252385","IDD5_plus_IDM_balanced","caudal_OFC",78,66,0.0450660450660451,0.243381074400711,0.324508099200948,"L>R"
"252385","IDD5_plus_IDM_balanced","VPons",78,66,-0.0303030303030303,0.125303249423851,0.250606498847702,"R>L"
"252385","IDD5_plus_IDM_balanced","VMid",78,66,-0.0174825174825175,0.47080247253717,0.538059968613909,"R>L"
"252385","IDD5_balanced","Ig",34,34,0.769896193771626,2.42023681096271e-08,1.45214208657762e-07,"L>R"
"252385","IDD5_balanced","LPal",34,34,0.358996539792388,0.00107204085886869,0.00214408171773739,"L>R"
"252385","IDD5_balanced","VPal",34,34,0,NA,NA,"R>L"
"252385","IDD5_balanced","Pi",34,34,0.0294117647058824,0.331753366775936,0.331753366775936,"L>R"
"252385","IDD5_balanced","Ia/Id",34,34,-0.532871972318339,0.000146936598541372,0.000440809795624117,"R>L"
"252385","IDD5_balanced","caudal_OFC",34,34,0.117647058823529,0.0423437616888254,0.063515642533238,"L>R"
"252385","IDD5_balanced","VPons",34,34,0,NA,NA,"R>L"
"252385","IDD5_balanced","VMid",34,34,0.0294117647058824,0.331753366775936,0.331753366775936,"L>R"
"252385","all_combined","Ig",107,163,0.363797947365403,9.16244857762649e-12,7.32995886210119e-11,"L>R"
"252385","all_combined","LPal",107,163,0.187890602603062,0.000306365280716259,0.000816974081910023,"L>R"
"252385","all_combined","VPal",107,163,0.0481050398486325,0.0412962780147548,0.0660740448236076,"L>R"
"252385","all_combined","Pi",107,163,0.044435525485924,0.0964460467328294,0.118879855880715,"L>R"
"252385","all_combined","Ia/Id",107,163,0.146780574508342,0.0338328826162608,0.0660740448236076,"L>R"
"252385","all_combined","caudal_OFC",107,163,-0.379966745026088,1.4159780993751e-08,5.66391239750039e-08,"R>L"
"252385","all_combined","VPons",107,163,-0.0245398773006135,0.104019873895625,0.118879855880715,"R>L"
"252385","all_combined","VMid",107,163,-0.0212717160713262,0.248311458699017,0.248311458699017,"R>L"
