"stratum","target","n_L","n_R","n_samples","frac_L","frac_R","mean_L","mean_R","median_pos_L","median_pos_R","p_presence","p_magnitude_overall","p_magnitude_conditional","direction","p_presence_BH","p_magnitude_overall_BH","p_magnitude_conditional_BH"
"all_combined","Str",121,185,4,0.272727272727273,0.183783783783784,0.0550700145907612,0.0482964169620719,0.166614471112893,0.24915783217761,0.0892782197962344,0.139551692382808,0.0199974320523801,"L>R",0.119037626394979,0.186068923177078,0.0399948641047601
"all_combined","LPal",121,185,4,0.355371900826446,0.140540540540541,0.0588636890005859,0.0295243502910181,0.173389203187694,0.182373462898643,2.07303239726153e-05,3.82937226742407e-05,0.126194478360308,"L>R",8.2921295890461e-05,0.000153174890696963,0.168259304480411
"all_combined","VPal",121,185,4,0.0826446280991736,0.0216216216216216,0.0124496432833584,0.00204355048652948,0.139789987573503,0.0799532786206675,0.0217718452703262,0.0117255900510559,0.288844366346485,"L>R",0.0435436905406524,0.0234511801021117,0.288844366346485
"all_combined","Pd",121,185,4,0.0578512396694215,0.0810810810810811,0.00387900514091783,0.0124235899187763,0.0614966873031389,0.163746953569271,0.503971986592324,0.37445004770697,0.00385094494646574,"R>L",0.503971986592324,0.37445004770697,0.015403779785863
"per_251637","Str",103,157,1,0.281553398058252,0.203821656050955,0.0601510098172973,0.0538536743285064,0.172175289931356,0.252011112077661,0.178180485446013,0.257271382908368,0.0634864896777383,"L>R",0.356360970892027,0.343028510544491,0.0981843601604036
"per_251637","LPal",103,157,1,0.330097087378641,0.146496815286624,0.0584141752933977,0.0310594886425379,0.174544783534624,0.186798067385531,0.000679472946466243,0.000949050110225265,0.294114223397301,"L>R",0.00271789178586497,0.00379620044090106,0.294114223397301
"per_251637","VPal",103,157,1,0.0485436893203883,0.0191082802547771,0.00736897338159362,0.00140247893598172,0.140524268972777,0.072842458622278,0.270881854523536,0.169049279828467,0.0736382701203027,"L>R",0.361175806031381,0.338098559656934,0.0981843601604036
"per_251637","Pd",103,157,1,0.0679611650485437,0.0955414012738854,0.00455688953447629,0.0146392620062014,0.0614966873031389,0.163746953569271,0.500619738427216,0.356395263240644,0.00385094494646574,"R>L",0.500619738427216,0.356395263240644,0.015403779785863
"IDD5_251637","Str",33,30,1,0.242424242424242,0.233333333333333,0.0531395548469328,0.0644065367717076,0.186014649568573,0.323958885238953,1,0.955915529492981,0.385418232368229,"R>L",1,0.955915529492981,0.578127348552344
"IDD5_251637","LPal",33,30,1,0.454545454545455,0.1,0.0865623929436013,0.0161187513021225,0.178417391737927,0.117100905145098,0.00219476029863357,0.00206216945257816,0.722282962716192,"L>R",0.00877904119453427,0.00618650835773448,0.722282962716192
"IDD5_251637","VPal",33,30,1,0,0,0,0,NA,NA,1,NA,NA,"R>L",1,NA,NA
"IDD5_251637","Pd",33,30,1,0.0606060606060606,0.0666666666666667,0.00229003852437144,0.00840435563213411,0.0377856356521288,0.126065334482012,1,0.883517309458509,0.245278116806773,"R>L",1,0.955915529492981,0.578127348552344
"IDM_251637","Str",44,32,1,0.181818181818182,0.125,0.0504396568791799,0.0368380310934093,0.253167600002357,0.277243508534026,0.545043995917867,0.512645601262463,1,"L>R",1,0.849546785201283,1
"IDM_251637","LPal",44,32,1,0.181818181818182,0.09375,0.0362078021285728,0.0236812049178857,0.175631245991048,0.203806253922546,0.339347460670386,0.314512548432505,0.609834043673459,"L>R",1,0.849546785201283,1
"IDM_251637","VPal",44,32,1,0.0227272727272727,0.03125,0.00353253119879102,0.00272075308184553,0.155431372746805,0.0870640986190569,1,0.849546785201283,NA,"L>R",1,0.849546785201283,NA
"IDM_251637","Pd",44,32,1,0.0227272727272727,0.03125,0.000929613473366058,0.00511709229903972,0.0409029928281066,0.163746953569271,1,0.819929173738029,NA,"R>L",1,0.849546785201283,NA
"IDD5_plus_IDM","Str",77,62,1,0.207792207792208,0.17741935483871,0.0515967560082168,0.0501776306151666,0.186014649568573,0.323958885238953,0.673560187339306,0.712758101178875,0.570385844452308,"L>R",1,0.893780037722349,0.855578766678462
"IDD5_plus_IDM","LPal",77,62,1,0.298701298701299,0.0967741935483871,0.0577883410492993,0.0200219531683228,0.176008957301512,0.163398740473038,0.00568917289486143,0.00422630249777237,0.935634978451336,"L>R",0.0227566915794457,0.0169052099910895,0.935634978451336
"IDD5_plus_IDM","VPal",77,62,1,0.012987012987013,0.0161290322580645,0.00201858925645201,0.00140425965514608,0.155431372746805,0.0870640986190569,1,0.893780037722349,NA,"L>R",1,0.893780037722349,NA
"IDD5_plus_IDM","Pd",77,62,1,0.038961038961039,0.0483870967741935,0.00151265278093979,0.00670770358924668,0.0409029928281066,0.163746953569271,1,0.749812786026118,0.0808555983700523,"R>L",1,0.893780037722349,0.242566795110157
"IAL_combined","Str",21,117,3,0.285714285714286,0.196581196581197,0.0448922320070683,0.0497762738448118,0.135873264688176,0.246273416645012,0.386313923541449,0.516222049609052,0.100576575322048,"R>L",0.515085231388598,0.516222049609052,0.153960514619907
"IAL_combined","LPal",21,117,3,0.333333333333333,0.170940170940171,0.043468844008818,0.0360738778410456,0.112273237329344,0.182373462898643,0.130339411107346,0.148037451727528,0.102640343079938,"L>R",0.260678822214691,0.296074903455057,0.153960514619907
"IAL_combined","VPal",21,117,3,0.238095238095238,0.0256410256410256,0.0355905989991534,0.00248711744776834,0.139055706174229,0.072842458622278,0.00213916966477782,0.000125776849667343,0.765594483995764,"L>R",0.00855667865911129,0.000503107398669372,0.765594483995764
"IAL_combined","Pd",21,117,3,0.0476190476190476,0.102564102564103,0.00496304535624954,0.0160896283114557,0.10422395248124,0.153267244194881,0.691222745024168,0.412924818666879,NA,"R>L",0.691222745024168,0.516222049609052,NA
"IAL_251637","Str",7,95,1,0.285714285714286,0.221052631578947,0.0678313025497084,0.0562527765414228,0.237409558923979,0.246273416645012,0.653806358122168,0.731081038709432,0.86999611762139,"L>R",1,0.963558457654421,0.86999611762139
"IAL_251637","LPal",7,95,1,0,0.178947368421053,0,0.0382629328467625,NA,0.186798067385531,0.597388347082131,0.228932226569786,NA,"R>L",1,0.915728906279143,NA
"IAL_251637","VPal",7,95,1,0,0.0210526315789474,0,0.00140131678242182,NA,0.0665625471650364,1,0.72017429811697,NA,"R>L",1,0.963558457654421,NA
"IAL_251637","Pd",7,95,1,0.142857142857143,0.126315789473684,0.0148891360687486,0.0198156474993718,0.10422395248124,0.153267244194881,1,0.963558457654421,NA,"R>L",1,0.963558457654421,NA
"IAL_252385","Str",11,20,1,0.272727272727273,0.1,0.0419206070159659,0.0239905134203903,0.114922200855498,0.239905134203903,0.31731906704098,0.259328832685257,0.772829992684448,"L>R",0.423092089387974,0.259328832685257,0.772829992684448
"IAL_252385","LPal",11,20,1,0.454545454545455,0.15,0.0483597651076308,0.0292832543479949,0.0759947253755303,0.121185989762031,0.0947168268636567,0.126173269383115,0.233037982273905,"L>R",0.230732559987288,0.189259904074673,0.466075964547811
"IAL_252385","VPal",11,20,1,0.272727272727273,0.05,0.0440450776496749,0.00789338235294118,0.155776744186047,0.157867647058824,0.115366279993644,0.0958915604614732,NA,"L>R",0.230732559987288,0.189259904074673,NA
"IAL_252385","Pd",11,20,1,0,0,0,0,NA,NA,1,NA,NA,"R>L",1,NA,NA
