SampleID,NeuronID,Neuron_Type,Soma_Region,Soma_Side,Soma_NII_X,Soma_NII_Y,Soma_NII_Z,Soma_Phys_X,Soma_Phys_Y,Soma_Phys_Z,Total_Length,Terminal_Count,N_Ipsilateral,N_Contralateral,N_Laterality_Unknown,Laterality_Index,Outlier_Count,Soma_Region_Auto,Soma_Region_Auto_clean,Soma_Region_Refined,Soma_Region_Source,Soma_Region_Match,Distance_to_nearest_251637_neuron_mm,Soma_Side_Inferred
252383,018.swc,ITi,CR_Ig,R,185.9445,152.656,119.4958,46486.125,38164.0,29873.95,437.1239999999956,5,4,0,1,0.0,10,CR_Ig,Ig,IG,auto_atlas_insula,IG,,R
252383,019.swc,ITi,CR_Ig,R,186.0838,151.339,118.772,46520.95,37834.75,29693.0,169.469,2,2,0,0,0.0,0,CR_Ig,Ig,IG,auto_atlas_insula,IG,,R
252383,091.swc,ITi,CL_Ig,L,56.563,162.881,121.412,14140.75,40720.25,30353.0,385.1559999999965,3,2,0,1,0.0,44,CL_Ig,Ig,IG,auto_atlas_insula,IG,,L
252383,122.swc,ITi,CR_Ig,R,196.6678,164.712,122.4963,49166.95,41178.0,30624.075,174.2770000000001,3,2,0,1,0.0,31,CR_Ig,Ig,IG,auto_atlas_insula,IG,,R
252383,125.swc,ITi,CR_Ig,R,197.183,167.47,121.3836,49295.75,41867.5,30345.9,430.3019999999956,4,3,0,1,0.0,44,CR_Ig,Ig,IG,auto_atlas_insula,IG,,R
252384,048.swc,ITi,CL_Ial,L,75.181,205.632,77.183,18795.25,51408.0,19295.75,467.9169999999904,11,10,0,1,0.0,13,CL_Ial,Ial,IAL,auto_atlas_insula,IAL,,L
252384,049.swc,ITs,CL_Ial,L,75.132,205.908,76.908,18783.0,51477.0,19227.0,757.3079999999868,11,10,0,1,0.0,24,CL_Ial,Ial,IAL,auto_atlas_insula,IAL,,L
252384,053.swc,ITi,CL_Ial,L,73.315,203.608,75.788,18328.75,50902.0,18947.0,335.814999999993,7,6,0,1,0.0,14,CL_Ial,Ial,IAL,auto_atlas_insula,IAL,,L
252384,077.swc,ITi,CR_Ial,R,183.3069,208.983,82.787,45826.725,52245.75,20696.75,165.8370000000012,4,3,0,1,0.0,19,CR_Ial,Ial,IAL,auto_atlas_insula,IAL,,R
252384,079.swc,ITi,CR_Ial,R,184.9936,209.9,83.09,46248.4,52475.0,20772.5,107.8420000000016,4,3,0,1,0.0,1,CR_Ial,Ial,IAL,auto_atlas_insula,IAL,,R
252385,025.swc,ITi,CL_Ia/Id,L,58.901,190.706,108.309,14725.25,47676.5,27077.25,361.9959999999941,3,2,0,1,0.0,5,CL_Ia/Id,Ia/Id,IA/ID,auto_atlas_insula,IA/ID,,L
252385,026.swc,ITi,CL_Ia/Id,L,55.118,188.714,106.4801,13779.5,47178.5,26620.025,2644.410999999883,12,11,0,1,0.0,110,CL_Ia/Id,Ia/Id,IA/ID,auto_atlas_insula,IA/ID,,L
252385,027.swc,ITi,CL_Ia/Id,L,55.691,187.365,107.489,13922.75,46841.25,26872.25,2385.257999999886,19,18,0,1,0.0,34,CL_Ia/Id,Ia/Id,IA/ID,auto_atlas_insula,IA/ID,,L
252385,036.swc,ITi,CL_Ial,L,75.435,209.919,76.223,18858.75,52479.75,19055.75,2149.427999999925,12,11,0,1,0.0,26,CL_Ial,Ial,IAL,auto_atlas_insula,IAL,,L
252385,037.swc,ITi,CL_Ial,L,75.145,209.287,76.79,18786.25,52321.75,19197.5,281.1549999999984,3,2,0,1,0.0,8,CL_Ial,Ial,IAL,auto_atlas_insula,IAL,,L
252385,038.swc,ITs,CL_Ial,L,74.168,206.676,76.814,18542.0,51669.0,19203.5,2539.209999999862,24,23,0,1,0.0,62,CL_Ial,Ial,IAL,auto_atlas_insula,IAL,,L
252385,039.swc,ITi,CL_Ial,L,75.378,205.484,76.949,18844.5,51371.0,19237.25,149.2540000000015,6,5,0,1,0.0,10,CL_Ial,Ial,IAL,auto_atlas_insula,IAL,,L
252385,040.swc,ITi,CL_Ial,L,74.196,206.506,74.077,18549.0,51626.5,18519.25,591.0569999999965,6,5,0,1,0.0,47,CL_Ial,Ial,IAL,auto_atlas_insula,IAL,,L
252385,041.swc,ITi,CL_Ial,L,74.498,207.459,73.165,18624.5,51864.75,18291.25,127.2690000000023,4,3,0,1,0.0,8,CL_Ial,Ial,IAL,auto_atlas_insula,IAL,,L
252385,042.swc,ITi,CL_Ial,L,74.991,208.442,73.507,18747.75,52110.5,18376.75,40.97899999999993,1,1,0,0,0.0,0,CL_Ial,Ial,IAL,auto_atlas_insula,IAL,,L
252385,043.swc,ITi,CL_Ial,L,75.95,209.073,73.972,18987.5,52268.25,18493.0,96.4870000000008,2,1,0,1,0.0,2,CL_Ial,Ial,IAL,auto_atlas_insula,IAL,,L
252385,044.swc,ITi,CL_Ial,L,77.592,207.16,73.596,19398.0,51790.0,18399.0,143.7390000000021,2,1,0,1,0.0,4,CL_Ial,Ial,IAL,auto_atlas_insula,IAL,,L
252385,045.swc,ITs,CL_Ial,L,78.439,208.53,74.573,19609.75,52132.5,18643.25,112.424000000001,6,5,0,1,0.0,7,CL_Ial,Ial,IAL,auto_atlas_insula,IAL,,L
252385,046.swc,ITs,CL_Ial,L,77.136,210.3,76.179,19284.0,52575.0,19044.75,2680.042999999833,22,21,0,1,0.0,58,CL_Ial,Ial,IAL,auto_atlas_insula,IAL,,L
252385,053.swc,ITs,CR_PrCO,R,196.201,219.0492,88.17,49050.25,54762.3,22042.5,378.1179999999957,5,4,0,1,0.0,2,CR_PrCO,PrCO,IAL,coord_inferred_from_251637_padded_distant,IAL,3.504965283708243,R
252385,054.swc,ITi,CR_PrCO,R,196.6544,218.8489,88.35,49163.6,54712.225,22087.5,40.32000000000001,2,2,0,0,0.0,0,CR_PrCO,PrCO,IAL,coord_inferred_from_251637_padded_distant,IAL,3.785843389523664,R
252385,055.swc,ITs,CR_PrCO,R,196.1472,220.6792,89.273,49036.8,55169.8,22318.25,408.881999999993,6,5,0,1,0.0,2,CR_PrCO,PrCO,IAL,coord_inferred_from_251637_padded_distant,IAL,4.6053476958857305,R
252385,056.swc,ITi,CR_PrCO,R,195.1431,218.7842,85.362,48785.775,54696.05,21340.5,140.9020000000018,1,1,0,0,0.0,0,CR_PrCO,PrCO,IAL,coord_inferred_from_251637_padded_distant,IAL,2.965819153286317,R
252385,057.swc,ITi,CR_PrCO,R,195.6642,219.9139,86.244,48916.05,54978.475,21561.0,45.34599999999984,1,1,0,0,0.0,0,CR_PrCO,PrCO,IAL,coord_inferred_from_251637_padded_distant,IAL,4.019490322167716,R
252385,058.swc,ITi,CR_PrCO,R,195.9962,217.1767,85.644,48999.05,54294.175,21411.0,47.66199999999991,1,1,0,0,0.0,0,CR_PrCO,PrCO,IAL,coord_inferred_from_251637_padded,IAL,2.487904992157053,R
252385,059.swc,ITi,CR_PrCO,R,196.3642,217.278,85.381,49091.05,54319.5,21345.25,12.383,1,1,0,0,0.0,0,CR_PrCO,PrCO,IAL,coord_inferred_from_251637_padded,IAL,2.4677947240400666,R
252385,060.swc,ITi,CR_PrCO,R,196.5034,218.5447,81.847,49125.85,54636.175,20461.75,182.9249999999996,1,1,0,0,0.0,0,CR_PrCO,PrCO,IAL,coord_inferred_from_251637_padded,IAL,2.556295493482715,R
252385,061.swc,ITi,CR_PrCO,R,195.9945,218.1859,80.675,48998.625,54546.475,20168.75,122.9910000000022,2,1,0,1,0.0,1,CR_PrCO,PrCO,IAL,coord_inferred_from_251637_padded_distant,IAL,2.6885862865082117,R
252385,062.swc,ITi,CR_PrCO,R,196.4725,219.3808,82.632,49118.125,54845.2,20658.0,144.2380000000013,3,2,0,1,0.0,2,CR_PrCO,PrCO,IAL,coord_inferred_from_251637_padded_distant,IAL,3.028755653729757,R
252385,063.swc,ITi,CR_Ial,R,192.6292,211.459,80.24,48157.3,52864.75,20060.0,943.2569999999884,10,9,0,1,0.0,39,CR_Ial,Ial,IAL,auto_atlas_insula,IAL,,R
252385,064.swc,ITi,CR_PrCO,R,192.83,216.7038,78.348,48207.5,54175.95,19587.0,108.762000000002,1,1,0,0,0.0,0,CR_PrCO,PrCO,IAL,coord_inferred_from_251637_strict_distant,IAL,3.049201869342201,R
252385,065.swc,ITi,CR_PrCO,R,195.023,219.9862,80.612,48755.75,54996.55,20153.0,139.4840000000019,1,1,0,0,0.0,0,CR_PrCO,PrCO,IAL,coord_inferred_from_251637_padded_distant,IAL,3.1485578540023664,R
252385,066.swc,ITi,CR_Ial,R,194.4202,212.3912,84.519,48605.05,53097.8,21129.75,218.783999999999,2,2,0,0,0.0,0,CR_Ial,Ial,IAL,auto_atlas_insula,IAL,,R
252385,067.swc,ITi,CR_PrCO,R,192.331,216.6004,85.088,48082.75,54150.1,21272.0,286.595999999997,7,6,0,1,0.0,1,CR_PrCO,PrCO,IAL,coord_inferred_from_251637_strict,IAL,1.1131167953094698,R
252385,068.swc,ITi,CR_PrCO,R,192.5548,216.725,86.502,48138.7,54181.25,21625.5,582.6639999999869,4,3,0,1,0.0,61,CR_PrCO,PrCO,IAL,coord_inferred_from_251637_strict,IAL,0.701364184999511,R
252385,069.swc,ITi,CR_PrCO,R,194.7189,218.2082,87.289,48679.725,54552.05,21822.25,79.90300000000033,3,2,0,1,0.0,1,CR_PrCO,PrCO,IAL,coord_inferred_from_251637_strict,IAL,2.176799965545748,R
252385,070.swc,ITi,CR_PrCO,R,194.3171,218.5304,88.363,48579.275,54632.6,22090.75,107.4540000000014,2,2,0,0,0.0,0,CR_PrCO,PrCO,IAL,coord_inferred_from_251637_strict,IAL,1.7324233576120953,R
252385,071.swc,ITi,CR_PrCO,R,193.2608,218.5809,82.937,48315.2,54645.225,20734.25,173.6389999999997,3,3,0,0,0.0,0,CR_PrCO,PrCO,IAL,coord_inferred_from_251637_strict,IAL,1.0703716597518922,R
252385,072.swc,ITi,CR_PrCO,R,193.5584,218.9249,83.371,48389.6,54731.225,20842.75,34.137,1,1,0,0,0.0,0,CR_PrCO,PrCO,IAL,coord_inferred_from_251637_padded,IAL,1.6691537886006855,R
252385,073.swc,ITi,CR_Ig,R,189.7321,151.353,120.9629,47433.025,37838.25,30240.725,201.1159999999998,4,3,0,1,0.0,2,CR_Ig,Ig,IG,auto_atlas_insula,IG,,R
252385,074.swc,ITi,CR_Ig,R,189.0985,151.55,121.6838,47274.625,37887.5,30420.95,49.45600000000004,3,3,0,0,0.0,0,CR_Ig,Ig,IG,auto_atlas_insula,IG,,R
